Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Pressure Value (if OTHER),Temperature
e8156a02-c2b2-4232-96b3-1c33f245b1d4,11323514-9793-5ded-aebc-6f0b84f3593f,94b0b2d2-574f-5738-b74b-36835bf4dec1,GALLONS,7.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
3db70716-e192-4524-8ef0-49089f1c473c,7e5bdb81-0eff-4678-b69f-dedc7bc7c362,22524294-6f0d-56af-85b7-903716a37f15,GALLONS,4000.0,Below ground tank,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
10bad40a-5db7-46f8-9506-b95d4d616941,b9525b17-bf9d-5e85-b5a0-c44a94ad4682,1c8520d6-f7ce-5222-bb7e-6795e67356ef,GALLONS,7.5,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
8d2ab825-d271-44ac-8afc-dd3e2b90e02d,64e16da3-6734-4764-84ee-e45cf38b4792,1e9da888-a585-517c-85fb-a87d0f1b0fa0,GALLONS,440.0,Above ground tank,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
8f5e4232-7672-42ce-9371-4e4e7771c851,db18dbed-8285-4674-8423-2f61a48b9a95,b550888c-104e-5e5b-92e6-f01b8642f2f0,GALLONS,55.0,Other,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
07877edb-25f6-4437-af2a-2c9e06647ab8,8516b521-ed66-545f-bd53-067f558238ab,161105e1-af26-51d3-84d9-056431126ca7,LITERS,17.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
a00b7a14-efe2-4801-9f55-ed57b57c77f6,d3f4d261-1882-4051-95d9-f46088c67823,1e9da888-a585-517c-85fb-a87d0f1b0fa0,GALLONS,240.0,Above ground tank,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
71c82f2b-b0c0-4d1e-b3be-b6876f68e6bb,d78df7b4-9fa1-5ae4-ba0c-95ce5140fd7a,1c8520d6-f7ce-5222-bb7e-6795e67356ef,GALLONS,6.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
55e1cb8f-0085-4108-9e94-9903b156f539,a2029b35-5ced-5550-82e2-d82d1e4d33ba,94b0b2d2-574f-5738-b74b-36835bf4dec1,LITERS,10.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
515bc4eb-74a4-4a7e-b181-67e79c120759,c32a41d0-0f30-4de2-914b-521b4c1ed4d3,1e9da888-a585-517c-85fb-a87d0f1b0fa0,GALLONS,1500.0,Above ground tank,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
