Storage Location ID,Facility ID,Description,CA Map Number,CA Grid Number,OR Inside Outside,OR Storage Building,OR Storage Floor,OR Storage Area,OR Storage Room,OR Storage Quadrant
1c8520d6-f7ce-5222-bb7e-6795e67356ef,fd2dc628-a341-4586-b491-be9fc9e52665,Parts Dept.,,,,,,,,
161105e1-af26-51d3-84d9-056431126ca7,fd2dc628-a341-4586-b491-be9fc9e52665,Parts Dept,,,,,,,,
1e9da888-a585-517c-85fb-a87d0f1b0fa0,fd2dc628-a341-4586-b491-be9fc9e52665,SERVICE DEPT,,,,,,,,
b550888c-104e-5e5b-92e6-f01b8642f2f0,fd2dc628-a341-4586-b491-be9fc9e52665,Wash Bay,,,,,,,,
22524294-6f0d-56af-85b7-903716a37f15,fd2dc628-a341-4586-b491-be9fc9e52665,TANK 1,,,,,,,,
94b0b2d2-574f-5738-b74b-36835bf4dec1,fd2dc628-a341-4586-b491-be9fc9e52665,,,,,,,,,
be5b1edc-bfb1-591d-b070-e2b5f13125f4,fd2dc628-a341-4586-b491-be9fc9e52665,PARTS DEPARTMENT,,,,,,,,
b8939d5a-d7fc-5ad4-90f0-073be94de637,fd2dc628-a341-4586-b491-be9fc9e52665,Store on forklift  located in West area of service Dept,,,,,,,,
