Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,eb6eb9d1-675d-4333-b525-468ae824ded8,FUEL-INJECTOR FLUSH,,TRUE,1088,FALSE,MIXTURE,FALSE,FALSE,FALSE,TRUE,0.83,KILOGRAMS_PER_LITER,FLAMMABLE|COMPRESSED_GAS,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|GERM_CELL_MUTAGENIC|CARCINOGENIC|ASPIRATION_HAZARD,,FLAMMABLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,76031dc1-5d5e-425b-b17d-903fb52884c7,PREMIUM FUEL GUARD™,,TRUE,0129,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.88,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|ASPIRATION_HAZARD,,COMBUSTIBLE|TOXIC,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,6c36d6a4-4095-4fe9-82d0-e7d6f1a0739a,BRAKE FLUID-DOT 4-PREMIUM PLUS,,TRUE,0601,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.06,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST,ACUTE_TOXICITY|EYE_IRRITANT|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,COMBUSTIBLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,53df2c56-9297-43f4-9f31-c96142c67638,SAFEBRAKE 9 M (DOT 4),Not Assigned,TRUE,200425,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.085,KILOGRAMS_PER_LITER,,SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,9931bba3-c379-4287-8ea4-9b96dc72c87a,PEAK dexcool Concentrate Antifreeze and Coolant,,TRUE,115007,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,9.34,POUNDS_PER_GALLON,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,95aa65fa-c133-47dc-8cec-213e1ae024d4,MULTI-CLEAN™,,TRUE,0117,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.83,KILOGRAMS_PER_LITER,FLAMMABLE|COMBUSTIBLE_DUST,ACUTE_TOXICITY|ASPIRATION_HAZARD,,COMBUSTIBLE|FLAMMABLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,251e098b-ee7c-4ce9-9b70-5f99000be3af,BG Battery Cleaner—Acid Detector (Aerosol),,TRUE,P485-xxxx,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.94,KILOGRAMS_PER_LITER,FLAMMABLE|COMPRESSED_GAS,EYE_IRRITANT,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,a957ac53-efcc-4022-bca6-545860ae1eca,O'Reilly Auto Parts Dex-Cool Compatible Extended Life Concentrate Antifreeze and Coolant,,TRUE,,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,9.34,POUNDS_PER_GALLON,,ACUTE_TOXICITY|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,e409bd30-c053-4467-a187-bf87341e47db,"Prestone® Honda/Nissan Antifreeze, Prediluted",107-21-1,FALSE,"AF-5110, AF-6300, AF-6300/F",FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.07,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY|REPRODUCTIVE_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,37cede10-7c66-4920-adfe-599d26d49a43,Zerex™ G-40 ANTIFREEZE COOLANT,,TRUE,844462,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.1231,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,6172a031-7411-4c46-b390-96a40512cf1d,Evap-Fresh No Rinse Evaporator Cleaner & Disinfectant,,TRUE,"4166-08, 4166-24, 4166-01",FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.007,KILOGRAMS_PER_LITER,,SKIN_IRRITANT|EYE_IRRITANT,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,c857cf87-bc3c-49cf-88b5-7860e1c583f3,Zerex™ Original Green Antifreeze Coolant,107-21-1,FALSE,896517,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.1205,KILOGRAMS_PER_LITER,,ACUTE_TOXICITY|CARCINOGENIC|REPRODUCTIVE_TOXICITY|SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,55c106ae-f792-4493-91c2-379c53eb55a4,MP PROTECT™ COOLING SYSTEM PROTECTION,107-21-1,FALSE,0444,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,1.07,KILOGRAMS_PER_LITER,,SPECIFIC_TARGET_ORGAN_TOXICITY,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,3292850f-52fe-4d4f-b526-288a235d67f2,"Nissan Matic J, 12 x 1 Quart Case",,TRUE,1611025-042,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.85,KILOGRAMS_PER_LITER,COMBUSTIBLE_DUST|FLAMMABLE,SKIN_IRRITANT|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,COMBUSTIBLE,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,b4cfd615-3ecd-493b-a5de-2ab891fcda15,DuraMAX Synthetic Blend Motor Oil,Mixture,TRUE,002,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.8599,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,a32ba0ac-e410-486e-83f3-1f347ff0f2c7,AUS 32 Urea Solution,,TRUE,114484-RM-GHS,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,1.095,KILOGRAMS_PER_LITER,,SKIN_IRRITANT,,,FALSE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,10609bf8-dde3-442b-861c-a26a73acd7cd,MOBIL 1 5W-30,,TRUE,970056,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.86,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
2da28b2c-c6e7-4acc-87ba-63e8770f77ae,9a61e5f1-9c99-469d-8ae3-2b0eea698f02,QUIET BRAKES™,,TRUE,0140,FALSE,MIXTURE,FALSE,TRUE,FALSE,TRUE,0.83,KILOGRAMS_PER_LITER,FLAMMABLE,ACUTE_TOXICITY|SKIN_IRRITANT|EYE_IRRITANT|SPECIFIC_TARGET_ORGAN_TOXICITY,,FLAMMABLE,FALSE,NONE,
