Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature,Unnamed: 11
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,0f2eb15d-7414-47f3-9800-497c28452c54,12281d10-3f1f-4242-ac41-6abd3f9412ce,f7e2e37d-9581-40f9-9f71-e4f59854c5f9,GALLONS,0.0,PLASTIC_BOTTLE,Parts Storage Metal shelves inside ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,8127dd42-c268-4863-902e-116b888be638,d1d3a988-2f06-4320-a4c4-b044de4e6a4a,cbbbf892-bc9d-475c-b124-6fdd9a63c0a5,POUNDS,30.0,CYLINDER,West side Tool Room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,921d83f1-d19a-4f57-80e9-5ba2aadd2b8f,a6be0f7e-2e87-4176-9ed3-35c89339149c,3c040094-bb2a-43a6-904d-94d094cd4b97,GALLONS,0.0,PLASTIC_BOTTLE,Stored in Parts Dept. ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,b683288b-247b-40c4-b656-e357d70596e3,502dbc99-0c3f-409a-aa4e-25085a0bbdbc,629ee42e-8b02-459d-8fbb-8ad530a14060,GALLONS,0.0,CAN,Repair shop -Note they may be switching to VG Products soon,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,08b4a455-0d20-4a33-b39b-35c8b0a59cab,7d710c8e-f002-44be-b619-b7617503a876,56186328-a357-40d5-b0f5-a5045911ba74,POUNDS,0.0,CYLINDER,Secured on wheel cart in the Employee Lounge near Admin. Two cylinders with caps and one with regulator,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,fdfff2cf-8a4a-4d64-8334-d2bc0873af61,a0251ba9-c551-41e2-826a-5d3070869682,7bbfbae3-4cad-41f1-9162-ee5da0c604db,GALLONS,0.0,STEEL_DRUM,New Red Drum in Outside Oil Storage - Need to verify Part # for correct SDS,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,24fd4ebd-805e-4cb3-bd43-2f0edfc660f6,1117c6b6-3807-4f20-a969-6e95b37b036e,852ed496-d4eb-4d13-b155-26401a4a910d,GALLONS,0.0,STEEL_DRUM,Outside Oil Storage Branded as Mobile 1 Full Synthetic 0W30,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,a51d7cee-9006-47c4-8edb-22ddbe3b2adb,9840dd49-835f-4a11-8f0c-2a4fc0eab495,ba7432f4-9785-42fc-9be8-13d6808cad03,POUNDS,0.0,CASE,Four Batteries in the Electric Cart on Showroom Floor,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,31d88827-0dfe-4b51-bdae-0e56383c57e4,56234527-3922-4eb0-b7f1-68efd35f7419,ad3693ce-3374-47a8-afdc-ec58c64349e3,GALLONS,0.0,PLASTIC_BOTTLE,32 oz. bottles in service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,aada1438-2f3b-4194-b0ea-54b141017520,47eb1d0e-1475-4a77-bba6-07496257f19c,98273b8e-f462-494e-94f3-594f691f5f13,GALLONS,0.0,PLASTIC_BOTTLE,Cases of 12oz Bottles in Parts and used in the Service Dept.,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,1010c839-aa9b-4907-af02-f06f2ba10267,32b68dc9-0ee2-4446-80e1-d47fc12cfd8c,23b9407c-02b8-4b4e-8a3e-e7d65dd1cf62,GALLONS,0.1875,PLASTIC_BOTTLE,on shelf in parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,bcac41f4-02be-434b-bea3-ac5e2b20182b,eb6eb9d1-675d-4333-b525-468ae824ded8,70cef3b5-0324-4857-8b32-2034461c3efc,GALLONS,0.28125,PLASTIC_BOTTLE,in parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,bf1c29c4-8fa0-47d3-9a74-4e059d2789af,76031dc1-5d5e-425b-b17d-903fb52884c7,cb39257e-6059-4407-9b01-6bca3b662a27,GALLONS,0.28125,PLASTIC_BOTTLE,on shelf in parts,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,4be2b723-240f-4a54-8002-4ee945acd2f2,6c36d6a4-4095-4fe9-82d0-e7d6f1a0739a,aced1e31-a771-433a-91a1-fdd726653a2c,GALLONS,0.25,PLASTIC_BOTTLE,Need more info  for where this is stored,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
0b6c76b1-b078-45fb-a1e0-e2d600331dcc,5aa8feab-9558-4b1b-963e-051e14c05b3b,4be2b723-240f-4a54-8002-4ee945acd2f2,6c36d6a4-4095-4fe9-82d0-e7d6f1a0739a,6a83ed3e-98f4-4b14-a62c-1a989d57683d,GALLONS,0.5,PLASTIC_BOTTLE,Parts department on metal shelving,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
d81be489-4583-47bc-9bf3-18ce259df7cd,5aa8feab-9558-4b1b-963e-051e14c05b3b,849ea40c-1be4-4777-a6c9-512f547cc8fd,90746c49-81fb-496a-bba3-1395a5304cd6,8db10f6a-b44b-4c42-88a7-b35e09bffca9,GALLONS,0.046875,PLASTIC_BOTTLE,parts on shelf,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE,
