Tenant ID,Facility Chemical Id,Facility Id,Chemical Id,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
5aa8feab-9558-4b1b-963e-051e14c05b3b,90746c49-81fb-496a-bba3-1395a5304cd6,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,90746c49-81fb-496a-bba3-1395a5304cd6,2023,1,1,1,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,05c53001-bdf8-4118-8560-f12e3c7bab8f,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,05c53001-bdf8-4118-8560-f12e3c7bab8f,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,2b0eae8e-4896-43e6-a1b6-8586ae944d22,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,2b0eae8e-4896-43e6-a1b6-8586ae944d22,2023,null,null,48,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,65c5071c-41a4-4699-8ebb-4808c575e657,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,65c5071c-41a4-4699-8ebb-4808c575e657,2023,null,null,48,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,c93efc1f-91f2-417c-bce7-38a8c370e381,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,c93efc1f-91f2-417c-bce7-38a8c370e381,2023,null,null,36,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,2023,null,null,36,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,fb8dc852-19c0-4918-b02f-0b89eacc26a2,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,fb8dc852-19c0-4918-b02f-0b89eacc26a2,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,2023,null,null,120,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,496cc246-c49c-481a-9a2b-4c54bd92dac8,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,496cc246-c49c-481a-9a2b-4c54bd92dac8,2023,null,null,36,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,c19339ee-b534-4e15-8eb0-a66807ecd708,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,c19339ee-b534-4e15-8eb0-a66807ecd708,2023,350,null,500,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,ee8fda04-686c-4690-b8be-476926955992,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,ee8fda04-686c-4690-b8be-476926955992,2023,110,null,110,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,4fe7a4b9-f97c-4237-8a6f-dae083e59ba5,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,4fe7a4b9-f97c-4237-8a6f-dae083e59ba5,2023,110,null,110,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,0ab3ff21-0243-41c2-864a-8460f4d0d42c,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,0ab3ff21-0243-41c2-864a-8460f4d0d42c,2023,55,null,55,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,12281d10-3f1f-4242-ac41-6abd3f9412ce,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,12281d10-3f1f-4242-ac41-6abd3f9412ce,2023,null,null,0,QUARTS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,d1d3a988-2f06-4320-a4c4-b044de4e6a4a,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,d1d3a988-2f06-4320-a4c4-b044de4e6a4a,2023,null,null,30,POUNDS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,a6be0f7e-2e87-4176-9ed3-35c89339149c,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,a6be0f7e-2e87-4176-9ed3-35c89339149c,2023,null,null,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,502dbc99-0c3f-409a-aa4e-25085a0bbdbc,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,502dbc99-0c3f-409a-aa4e-25085a0bbdbc,2023,null,null,0,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,7d710c8e-f002-44be-b619-b7617503a876,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,7d710c8e-f002-44be-b619-b7617503a876,2023,null,null,0,POUNDS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,a0251ba9-c551-41e2-826a-5d3070869682,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,a0251ba9-c551-41e2-826a-5d3070869682,2023,null,null,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,1117c6b6-3807-4f20-a969-6e95b37b036e,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,1117c6b6-3807-4f20-a969-6e95b37b036e,2023,null,null,0,GALLONS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,9840dd49-835f-4a11-8f0c-2a4fc0eab495,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,9840dd49-835f-4a11-8f0c-2a4fc0eab495,2023,null,null,0,POUNDS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,56234527-3922-4eb0-b7f1-68efd35f7419,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,56234527-3922-4eb0-b7f1-68efd35f7419,2023,null,null,0,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,47eb1d0e-1475-4a77-bba6-07496257f19c,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,47eb1d0e-1475-4a77-bba6-07496257f19c,2023,null,null,0,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,32b68dc9-0ee2-4446-80e1-d47fc12cfd8c,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,32b68dc9-0ee2-4446-80e1-d47fc12cfd8c,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,eb6eb9d1-675d-4333-b525-468ae824ded8,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,eb6eb9d1-675d-4333-b525-468ae824ded8,2023,null,null,36,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,76031dc1-5d5e-425b-b17d-903fb52884c7,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,76031dc1-5d5e-425b-b17d-903fb52884c7,2023,null,null,36,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,6c36d6a4-4095-4fe9-82d0-e7d6f1a0739a,0b6c76b1-b078-45fb-a1e0-e2d600331dcc,6c36d6a4-4095-4fe9-82d0-e7d6f1a0739a,2023,null,4,2,QUARTS,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,90746c49-81fb-496a-bba3-1395a5304cd6,d81be489-4583-47bc-9bf3-18ce259df7cd,90746c49-81fb-496a-bba3-1395a5304cd6,2023,null,null,6,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,05c53001-bdf8-4118-8560-f12e3c7bab8f,d81be489-4583-47bc-9bf3-18ce259df7cd,05c53001-bdf8-4118-8560-f12e3c7bab8f,2023,null,null,12,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,2b0eae8e-4896-43e6-a1b6-8586ae944d22,d81be489-4583-47bc-9bf3-18ce259df7cd,2b0eae8e-4896-43e6-a1b6-8586ae944d22,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,65c5071c-41a4-4699-8ebb-4808c575e657,d81be489-4583-47bc-9bf3-18ce259df7cd,65c5071c-41a4-4699-8ebb-4808c575e657,2023,null,null,12,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,c93efc1f-91f2-417c-bce7-38a8c370e381,d81be489-4583-47bc-9bf3-18ce259df7cd,c93efc1f-91f2-417c-bce7-38a8c370e381,2023,null,null,24,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,d81be489-4583-47bc-9bf3-18ce259df7cd,e6bf7c67-ed87-479a-af8c-4ac9e3571d9c,2023,null,null,12,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,fb8dc852-19c0-4918-b02f-0b89eacc26a2,d81be489-4583-47bc-9bf3-18ce259df7cd,fb8dc852-19c0-4918-b02f-0b89eacc26a2,2023,null,null,12,OUNCES,365,false,true
5aa8feab-9558-4b1b-963e-051e14c05b3b,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,d81be489-4583-47bc-9bf3-18ce259df7cd,d4703ea4-6f24-4b6c-8e41-9d51bd4f811b,2023,null,null,24,OUNCES,365,false,true
