Tenant ID,Facility Chemical Id,Facility Id,Chemical Id,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
883b7124-9c13-41ff-a6ee-341efbcde9ca,dead3739-e58d-446d-8938-915598433f39,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,dead3739-e58d-446d-8938-915598433f39,2023,15,6,0,LITERS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,98ec8ceb-27b7-4ee3-b97f-310f966c817e,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,98ec8ceb-27b7-4ee3-b97f-310f966c817e,2023,4,4,4,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,33c5a060-d68b-4f0d-8dbc-71effca62d43,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,33c5a060-d68b-4f0d-8dbc-71effca62d43,2023,1,1,1,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,985d0789-d71a-4b67-9d03-b89c2f071a97,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,985d0789-d71a-4b67-9d03-b89c2f071a97,2023,25,15,25,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,f2efcd2f-87d0-448d-aa99-ca8d15ec0a5c,2023,50,30,50,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,15d2a98f-70b9-4517-ae77-1fc4efa45749,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,15d2a98f-70b9-4517-ae77-1fc4efa45749,2023,40,30,40,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,77e12311-2771-4a3c-a34a-f2d7342145f5,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,77e12311-2771-4a3c-a34a-f2d7342145f5,2023,30,20,30,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,5bd7c116-b78d-4d48-a327-827127cbdb82,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,5bd7c116-b78d-4d48-a327-827127cbdb82,2023,12,12,12,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,8299f07d-fe8a-477a-8a9f-c751831e799c,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,8299f07d-fe8a-477a-8a9f-c751831e799c,2023,6,6,6,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,d18aefd3-c95f-4c58-8b48-2d3eaf0ecd9e,2023,55,55,55,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,0359f2d8-b364-41e9-808f-057fccbc472a,07ee7c7e-0778-442b-8a3b-345343e3a0d5	,0359f2d8-b364-41e9-808f-057fccbc472a,2023,20,15,20,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,bb2138ce-b567-4721-b9dc-cacd5be69285	,2cd6b35e-f4bb-437b-bc3e-dbed1ecd5647,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,a9a0f347-ad0f-45e4-bd65-d5cd8d3fe572,bb2138ce-b567-4721-b9dc-cacd5be69285	,a9a0f347-ad0f-45e4-bd65-d5cd8d3fe572,2023,null,30,30,CUBIC_FEET,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,8c42d057-c06a-4d80-8448-65f210b35b48,bb2138ce-b567-4721-b9dc-cacd5be69285	,8c42d057-c06a-4d80-8448-65f210b35b48,2023,null,null,40,CUBIC_FEET,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,45dd3f3d-39b8-4463-879a-98590fe256f1,bb2138ce-b567-4721-b9dc-cacd5be69285	,45dd3f3d-39b8-4463-879a-98590fe256f1,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,84d7dd81-8ece-4d3d-bc62-15fe889741a9,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,84d7dd81-8ece-4d3d-bc62-15fe889741a9,2023,null,null,0,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,7d0f0a01-9b48-49a1-ad79-566ee2cd0ef3,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,e69c1106-bb9b-411c-9fcc-ba5ba4efaa73,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,b94781fd-ed0e-4dbb-a060-c77f40553a22,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,b94781fd-ed0e-4dbb-a060-c77f40553a22,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,9a23671e-c77e-4bca-8efd-014775443cfd,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,9a23671e-c77e-4bca-8efd-014775443cfd,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,cee3641c-8ed6-46d1-9099-66385b977e5d,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,cee3641c-8ed6-46d1-9099-66385b977e5d,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,713b50e5-e8ce-4249-9b7f-bf94e0acfecf,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,713b50e5-e8ce-4249-9b7f-bf94e0acfecf,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,052a71bc-4b6f-4562-9cb6-d6ae8d28d149,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,052a71bc-4b6f-4562-9cb6-d6ae8d28d149,2023,null,null,0,QUARTS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,b4929d0f-0ebd-4c30-9699-be4e72fdf6c9,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,b4929d0f-0ebd-4c30-9699-be4e72fdf6c9,2023,null,null,0,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,ea1bf237-4b66-4f16-9fe6-5ca29995d844,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,ea1bf237-4b66-4f16-9fe6-5ca29995d844,2023,null,null,0,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,dc115865-c928-4273-9c73-e07b06b07afd,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,dc115865-c928-4273-9c73-e07b06b07afd,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,a0c96571-3c9c-4225-8e5c-257bb77482c4,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,a0c96571-3c9c-4225-8e5c-257bb77482c4,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,42d94481-e621-4345-ba25-e97ab1308bfb,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,42d94481-e621-4345-ba25-e97ab1308bfb,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,6689dd29-5a7b-44cd-be1d-dfc049171140,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,6689dd29-5a7b-44cd-be1d-dfc049171140,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,4237ab55-892f-40b7-bebc-45c104ec3c52,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,4237ab55-892f-40b7-bebc-45c104ec3c52,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,d26d05d6-92cd-45c0-93cf-0bfcee30bc64,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,d26d05d6-92cd-45c0-93cf-0bfcee30bc64,2023,null,null,0,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,90b57b76-2f73-4cde-82bc-afbc4c4c75f8,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,90b57b76-2f73-4cde-82bc-afbc4c4c75f8,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,ed0b6258-32e3-4f15-9415-c00b2dba5a3c,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,ed0b6258-32e3-4f15-9415-c00b2dba5a3c,2023,null,null,0,GALLONS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,dd6ade6d-964d-48f6-bf5a-c0bb1212ce56,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,dd6ade6d-964d-48f6-bf5a-c0bb1212ce56,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,917df877-3788-4f7e-95e1-4091651064e4,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,917df877-3788-4f7e-95e1-4091651064e4,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,8e909a6b-e3fa-4f89-9e95-88e02986b021,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,8e909a6b-e3fa-4f89-9e95-88e02986b021,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,9bca6524-da36-49e2-9079-d247e9b2c77b,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,9bca6524-da36-49e2-9079-d247e9b2c77b,2023,null,null,0,POUNDS,365,false,true
883b7124-9c13-41ff-a6ee-341efbcde9ca,d0b74cac-8d56-4d87-bb59-9eb4ad01ea81,a4a1b0b4-05e8-4145-bbaf-0120bbb6c76b	,d0b74cac-8d56-4d87-bb59-9eb4ad01ea81,2023,null,null,0,POUNDS,365,false,true
