Tenant ID,Facility ID,Storage Location ID,Description
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,187703e1-08d6-4b2d-8b30-6f22dbe6db4e, stored on torch tank dollie in west side store room
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,c4fb1dd9-5ba6-4393-8dc0-9a76ed047162,In parts department in bin 131
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,8fcdef69-a96c-4beb-98d2-57b68e710198,in parts department bin 135
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,918257ce-b161-4e06-b3ec-9f6ca36a3083,In Parts Dept
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d36c0a4d-a2dd-4715-bd01-599ff6de147a,In parts department in bin 130
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,7ab8afa0-7332-4d8f-b3a5-90e389a06426,in parts department in bin 130
3e718b82-035d-435d-9395-69c6bb3779fe,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,973aa5a4-7bc0-4c26-a5c6-dcbc1dfedf39,In parts department bin 134
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,05ed9d09-0ae6-44ec-82e0-1d73266239d1,EMPTY PALLET IN THE BACK OF THE PARTS DEPT TO THE EAST SIDE OF THE MAIN SHOP 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,e0e9410c-52fe-4099-a08d-ece7c04436e5,FUEL FOR SHOP FORKLIFT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,91ba8c74-af6f-41cd-b6dd-bd2190752cfa,Gasoline only kept in approved containment can stored at rear of shop area 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,2944f85f-d61d-4f73-8048-6bbe316f3e28,A100 PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,fe75f81e-658d-4cb7-9ca3-b57bbb33fb40,BIN A100 IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,92b693fd-a7b9-4116-a6fa-22cac2dc7743,BIN A100 IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,0619dfd3-b19b-4491-a6f8-f8674b00dea7,BIN "OIL" IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,0adf3237-f395-47b4-8509-3a15569967be,BIN "OIL" IN PARTS DEPT 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,90d352f0-46f3-4d4e-8a04-c9db477e98ee,BIN "OIL" IN PARTS DEPT 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,521bd440-e093-4879-bc8f-770f6642d574,BIN A100 IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,93dc9087-1350-4a9d-862a-d2248c4ea6b7, Parts dept bin 100
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,263ca7fb-9ef2-40f2-8db8-d46b840aa232,BIN A100 IN PARTS DEPT 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,1097fea1-773c-4659-bca7-1b33823346fd,BIN A100 IN PARTS DEPT 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,44795f30-6638-4de7-a94e-a468f95bb9ed,BIN A100 IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,6324aed0-da29-4444-bd5d-387e6f1ae797,BIN "OIL" IN PARTS DEPT 
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,4cb3c780-a300-455c-aec3-3b788ba0d06b,BIN "OIL" IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,80783e37-000a-4338-ba09-54a1ebaa82ae,NORTH WALL OF THE MAIN SHOP
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,81935224-4b24-4724-b9ec-831d5ea52dc1,BIN "OIL" IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,76dd69a4-aad6-409c-b938-8bd12c99973c,0bb42504-47d0-4562-a529-991853bc8109,BIN A100 IN PARTS DEPT
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,f3acae77-fe57-4fa2-8fbb-6c7060f4d387,In 3 onsite forklifts
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,19ac9131-67a2-42a4-84d4-d1082cab6a20,Outside of Detail Shop
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,11e2d6ca-e407-455a-ae17-2a727477ed71,Service Department
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,b156f0e8-99d6-465d-a31d-16cde8579101,Service Department
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,a45d509c-4cca-4c00-b057-5c449c705fa1,Service Department
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,10fed2ef-a440-46f0-8d67-265151b07e1a,
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,f026f39f-4a0b-4cd7-86a5-73685df45b3d,
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,6b0c32ea-6716-442c-aac6-773eb137f8dd,
3e718b82-035d-435d-9395-69c6bb3779fe,eee4eeff-59df-4c2a-b32e-4cc2ffd653bc,aa855940-e9a0-4ded-bf59-a17e2dff2fdc,
