Facility ID,Tenant ID,Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Temperature
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,27c56ffa-f99c-49ab-b793-1e2839733846,30ae2c7a-5f80-5487-b74c-0beb45d3edb1,e09f22dc-007f-4724-8f2c-07f1ebc8ef97,QUARTS,0,CASE,In Parts Department bin 132,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c176fdc2-2ffa-40de-80cc-635f4b6b51d3,2facd23c-b724-55f7-a761-befa54ae871b,a3400338-0446-42e1-a72a-dbc9003bbbf1,QUARTS,0,CASE,In parts department in bin 133,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,acdce48f-4bd4-46b8-b0f8-9f31e03c6c9f,46f7143b-946c-54c7-ae4f-d904b7556452,af277812-acee-4675-9e09-c31a1abf94f5,GALLONS,0,CASE,in Parts Department bin 135,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,f69a5932-8000-4d2d-9a92-a6db184e5911,df545f5c-9752-5d5e-ab32-298e65d6a455,cb6fcdf9-8723-42fa-a9af-ac7aa14658c0,QUARTS,0,CASE,in parts department bin 134,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,03238a94-f482-4da9-b6a4-31e6f9632cc4,b9d7f644-84a0-59b9-ab03-90a8aee06dd5,a21912b9-db52-4f77-a512-e832b6290d97,OUNCES,0,CASE,In the Parts department,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,480edda1-5c07-44b3-8d2a-da89ded8803c,21dedd83-bdf1-5b38-8e1a-169781f82573,127705c0-6ecd-4bd3-aab5-f64cf202f8da,OUNCES,0,CASE,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,919df57a-8b33-47b1-a847-8f5afc45455d,7777f9a0-62e3-5b10-b984-96a97b94cbca,1ad9062e-173c-4244-a74f-4e1e01285ad2,GALLONS,0,CASE,Parts Department Bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,54f047ff-2377-43b4-8611-cbc86354b242,b34fab17-ed9a-5308-a6ad-aeecb3bdfcb7,4cc1b2d3-8f39-4ec5-91fc-a7346c7259fc,GALLONS,0,STEEL_DRUM,Parts Department bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,e2ad9c7b-5c72-45ad-9b17-1b4f9d826249,7eeedc5e-78b4-5bee-8cd8-14c19a423ca4,0640160e-78b0-40a5-bb69-2b9c9e4975f3,GALLONS,0,CAN,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,4ff5191c-246d-435d-87e8-5ba0b1d6ef01,61752d26-5cd5-5206-a5c5-f7c75d78294f,9d9c5047-5d16-4320-b247-7098ce9ad2a0,GALLONS,300,ABOVEGROUND_STORAGE_TANK,In Rear of service area,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,545fd69f-0445-4785-8b7b-eba4bc000331,9505d318-e78c-5dfa-aff2-4b378008d15e,efa2a8a7-6b41-413e-9538-5aeb2e901ed3,GALLONS,0,CAN,Parts Department in Bin 127,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,b0b962e1-5816-4642-9811-4de5b8560992,a0110158-02fc-5c24-9634-a83e3269b3b8,b9482b71-6d05-4dbf-a10e-51ef6b0e6f32,GALLONS,0,CASE,Parts Department in bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,97a4c5d6-dc16-4f84-a40f-49d9eacf13a7,f9d25aa3-bb7b-5924-a2ed-63c7a31b0b0f,d11f2fa8-d017-4a23-b89d-0ea8c6a97a13,GALLONS,0,PLASTIC_BOTTLE,Parts Department in Bin 137,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,058a3cdb-131f-4238-9e12-3d1bf4bd19af,b39f48d7-a8bb-5192-afd7-c7c44f4bfbd5,620574c9-04f2-4c98-a04b-fedd9a753f71,GALLONS,0,CASE,In parts department bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,880a05da-a45c-457c-a6c4-97a1d9ee29ed,54a7df9d-b8df-524b-ae75-146028a0e6c9,06777343-f5d8-46b2-a6d0-f9b1d65816d8,QUARTS,0,CASE,In parts department bin 131,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c836ebc7-115c-4f34-a6fc-4e5cb2b69ab7,4a4f5a4d-38eb-52f1-98a8-31038b4f14a1,1edb71f2-8671-4bb2-83fe-d305416be5d9,GALLONS,0,CASE,Parts Department bin 66,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,50ca65cb-f584-46c5-aacd-2abcf603bfd3,db7a4a11-cfe3-5154-9e34-fe166d798d61,2123054e-5973-4591-bcae-e6063df6be5b,QUARTS,0,CASE,Parts Department bin 66,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,504f8234-f456-4cae-86f9-9859fff407c6,6eee0baa-4e71-5d14-95f7-74bf06e18b34,e9fc92f7-2b94-4786-bff9-91a7cebd15f3,GALLONS,0,CASE,In the parts department bin 66,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,7d5106ef-45d5-46fc-954a-fa4127b3ac0c,c1505fb6-9b1e-568d-b9ea-e9ee0319a17e,187703e1-08d6-4b2d-8b30-6f22dbe6db4e,CUBIC_FEET,80,TANK_WAGON, stored on torch tank dollie in west side store room,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c8d70ba0-e81d-4a96-a100-3f12ce998a65,6346c366-73e5-5ca3-8ba1-2f5b51f0b22d,c4fb1dd9-5ba6-4393-8dc0-9a76ed047162,QUARTS,0,CASE,In parts department in bin 131,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,c8d70ba0-e81d-4a96-a100-3f12ce998a65,6346c366-73e5-5ca3-8ba1-2f5b51f0b22d,8fcdef69-a96c-4beb-98d2-57b68e710198,QUARTS,0,CASE,in parts department bin 135,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,75d590b2-db0b-4b76-bc02-2973ce62220b,238f794e-f75d-5fc9-bf4d-d9740e29e802,918257ce-b161-4e06-b3ec-9f6ca36a3083,GALLONS,0,CASE,In Parts Dept,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,48153cb9-ed9e-488a-983a-92628eaf61d3,a65376ca-b8ce-5c4b-b436-1384f5070d15,d36c0a4d-a2dd-4715-bd01-599ff6de147a,GALLONS,0,CASE,In parts department in bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,87aec2d3-6537-4a11-afa7-aa7cfc068b80,00bb3590-b9c6-5b32-b2fc-234f0efd7967,7ab8afa0-7332-4d8f-b3a5-90e389a06426,GALLONS,0,CASE,in parts department in bin 130,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3e718b82-035d-435d-9395-69c6bb3779fe,ff31eb56-5479-4df7-a634-bb376e95882f,8e5ec61b-1a71-5586-90e4-a320236ce9f2,973aa5a4-7bc0-4c26-a5c6-dcbc1dfedf39,GALLONS,0,CASE,In parts department bin 134,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,bad5c929-9a78-43a6-a025-34221cec5ce0,b6cc052c-d216-53b4-8577-27d735779b5c,05ed9d09-0ae6-44ec-82e0-1d73266239d1,GALLONS,0,BOX,EMPTY PALLET IN THE BACK OF THE PARTS DEPT TO THE EAST SIDE OF THE MAIN SHOP ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,91437c41-e0b5-4027-9fcc-ef0ef1c30382,a0c99256-79ac-5b11-9d45-ba2a3d5dfae3,e0e9410c-52fe-4099-a08d-ece7c04436e5,GALLONS,0,TANK_INSIDE_BUILDING,FUEL FOR SHOP FORKLIFT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,de9e8d69-1977-45b6-9d9c-f5a2a58bcb90,2efd89b9-be11-51a1-a828-b90871cef683,91ba8c74-af6f-41cd-b6dd-bd2190752cfa,GALLONS,5,CAN,Gasoline only kept in approved containment can stored at rear of shop area ,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,e1b67fd4-98a4-4c37-8c92-774dedefcbfe,2f970338-d221-56a6-acd9-292b2694a2a0,2944f85f-d61d-4f73-8048-6bbe316f3e28,GALLONS,3,PLASTIC_BOTTLE,A100 PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,483d28b8-3aba-41d6-a86e-647187cf6c82,1f1f613c-ae43-5a1d-b889-5d42d80dc02a,fe75f81e-658d-4cb7-9ca3-b57bbb33fb40,GALLONS,18,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,3527e452-9e5d-4978-a61e-cf465c9d6a5c,a546eda7-fbbc-5197-8155-a4eecd3c9238,92b693fd-a7b9-4116-a6fa-22cac2dc7743,GALLONS,31,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,e5b12e53-93aa-4e57-bf6f-cbf4c2f5f2cf,1a7dd288-532a-524b-b1dc-fe63f0272eb8,0619dfd3-b19b-4491-a6f8-f8674b00dea7,GALLONS,15,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,af9f87c0-2f1d-4a45-b8e1-d4a90ccb42f4,fec60a91-50f6-52bd-a421-51c9b6fa3209,0adf3237-f395-47b4-8509-3a15569967be,GALLONS,14,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT ",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,38708fd4-109c-43b2-a428-ea0b2dd86ac7,a20c7e15-af40-5bc6-892f-3b85facd2918,90d352f0-46f3-4d4e-8a04-c9db477e98ee,GALLONS,1,PLASTIC_BOTTLE,"BIN ""OIL"" IN PARTS DEPT ",AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,439a7630-2f6f-4114-836c-9decaa13933e,d807a9f7-399b-5426-984c-ad3a15828c67,521bd440-e093-4879-bc8f-770f6642d574,GALLONS,24,PLASTIC_BOTTLE,BIN A100 IN PARTS DEPT,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
76dd69a4-aad6-409c-b938-8bd12c99973c,3e718b82-035d-435d-9395-69c6bb3779fe,a12c3a16-804b-42b3-b1ec-22b1a0238cd0,345f63d6-b534-5210-b1de-2ba717e97efb,93dc9087-1350-4a9d-862a-d2248c4ea6b7,QUARTS,24,PLASTIC_BOTTLE, Parts dept bin 100,AMBIENT_PRESSURE,AMBIENT_TEMPERATURE
