Facility Chemical ID,Facility ID,Chemical ID,Reporting Year,Max Amount,Average Amount,Max Amount Largest Container,Unit,Days On Site,Has Confidential Storage Locations?,Always report this chemical even when it is below reporting thresholds
d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,2023,0.0078125,0.0078125,0.0078125,GALLONS,365,FALSE,TRUE
f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f2f56f71-131c-4e0d-8d40-14d38c0c6f0e,2023,500,400,500,GALLONS,365,FALSE,TRUE
9d0e4066-42b6-40d8-b59f-c934453dd9cb,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,9d0e4066-42b6-40d8-b59f-c934453dd9cb,2023,5,5,5,GALLONS,365,FALSE,TRUE
d5cc0890-8248-4737-b9d5-d10da0f2a20e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d5cc0890-8248-4737-b9d5-d10da0f2a20e,2023,0,0,0,GALLONS,365,FALSE,TRUE
9af4a39b-2220-46a6-9de3-d6a0368505b8,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,9af4a39b-2220-46a6-9de3-d6a0368505b8,2023,3,3,3,GALLONS,365,FALSE,TRUE
3a62db00-c23f-4f22-afe8-35069713d896,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3a62db00-c23f-4f22-afe8-35069713d896,2023,2500,2500,500,GALLONS,365,FALSE,TRUE
e8ddae35-79be-4042-8311-cd085af4e5c0,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,e8ddae35-79be-4042-8311-cd085af4e5c0,2023,0,0,0,GALLONS,365,FALSE,TRUE
323ff724-4866-4b0b-a261-ac4f037e7249,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,323ff724-4866-4b0b-a261-ac4f037e7249,2023,0,0,0,GALLONS,365,FALSE,TRUE
f991e501-20c7-43e9-9d38-430c5b5ed825,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f991e501-20c7-43e9-9d38-430c5b5ed825,2023,0,0,0,GALLONS,365,FALSE,TRUE
3f8740a4-6734-4206-bef5-04dc5d677433,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3f8740a4-6734-4206-bef5-04dc5d677433,2023,0,0,0,GALLONS,365,FALSE,TRUE
7776d798-0e65-4543-98f7-63ab038582d6,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,7776d798-0e65-4543-98f7-63ab038582d6,2023,0,0,0,GALLONS,365,FALSE,TRUE
8d20a027-1cba-47e8-90fc-5b3fc17aa292,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,8d20a027-1cba-47e8-90fc-5b3fc17aa292,2023,0,0,0,GALLONS,365,FALSE,TRUE
a03e0dc6-d67e-452d-a22f-781b4a400f0e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a03e0dc6-d67e-452d-a22f-781b4a400f0e,2023,0,0,0,GALLONS,365,FALSE,TRUE
73bba6ab-02de-4198-b537-fcab1d50279b,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,73bba6ab-02de-4198-b537-fcab1d50279b,2023,0,0,0,GALLONS,365,FALSE,TRUE
d8390965-2f21-4cc8-b899-5e80b5f7cfac,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,d8390965-2f21-4cc8-b899-5e80b5f7cfac,2023,0,0,0,GALLONS,365,FALSE,TRUE
214088de-7213-4102-9bc5-3b1bc03dcffd,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,214088de-7213-4102-9bc5-3b1bc03dcffd,2023,0,0,0,GALLONS,365,FALSE,TRUE
ab982817-3837-4147-a7e9-738d5bd07bf4,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,ab982817-3837-4147-a7e9-738d5bd07bf4,2023,0,0,0,GALLONS,365,FALSE,TRUE
a312bbce-f598-4771-b855-1fc28daf6631,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a312bbce-f598-4771-b855-1fc28daf6631,2023,0,0,0,GALLONS,365,FALSE,TRUE
ccc98ff1-3b95-4e17-abff-9825bec16bd5,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,ccc98ff1-3b95-4e17-abff-9825bec16bd5,2023,0,0,0,GALLONS,365,FALSE,TRUE
a5041a71-9fe2-44df-b7d2-127de8eb52c1,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,a5041a71-9fe2-44df-b7d2-127de8eb52c1,2023,0,0,0,GALLONS,365,FALSE,TRUE
fe9a898e-7f0a-418d-a25e-1d636b9ff15e,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,fe9a898e-7f0a-418d-a25e-1d636b9ff15e,2023,0,0,0,GALLONS,365,FALSE,TRUE
684544f5-14a8-4fa9-a53c-74b98d0ca3e0,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,684544f5-14a8-4fa9-a53c-74b98d0ca3e0,2023,0,0,0,GALLONS,365,FALSE,TRUE
f021e49a-0ee3-49fc-8741-2aa702fd7866,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f021e49a-0ee3-49fc-8741-2aa702fd7866,2023,300,100,300,GALLONS,365,FALSE,TRUE
8c6f990e-ef39-400b-bf25-05e8ed325445,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,8c6f990e-ef39-400b-bf25-05e8ed325445,2023,0,0,0,GALLONS,365,FALSE,TRUE
046c5f34-13b7-4ae7-9b79-6a84eaf64c34,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,046c5f34-13b7-4ae7-9b79-6a84eaf64c34,2023,0,0,0,GALLONS,365,FALSE,TRUE
77d7ccb0-0825-4d57-9d01-f6b1a5c4aa45,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,77d7ccb0-0825-4d57-9d01-f6b1a5c4aa45,2023,0,0,0,GALLONS,365,FALSE,TRUE
5a1a502f-ca7c-4294-be2c-4a1e58022d58,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,5a1a502f-ca7c-4294-be2c-4a1e58022d58,2023,0,0,0,GALLONS,365,FALSE,TRUE
78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,78b7d6d9-6c1b-4e8e-a275-0536e6007bc6,2023,0,0,0,GALLONS,365,FALSE,TRUE
3572a26e-f0b5-45a6-9f4b-537080ad01a7,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,3572a26e-f0b5-45a6-9f4b-537080ad01a7,2023,0,0,0,GALLONS,365,FALSE,TRUE
b781b778-35bf-4841-8626-0c96dc552970,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,b781b778-35bf-4841-8626-0c96dc552970,2023,0,0,0,GALLONS,365,FALSE,TRUE
ccd2f213-21c9-486a-9c1e-4bb426655d26,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,ccd2f213-21c9-486a-9c1e-4bb426655d26,2023,0,0,0,GALLONS,365,FALSE,TRUE
18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,18ceda4c-75fd-4b7e-b5e0-2122b92db8f0,2023,80,80,80,CUBIC_FEET,365,FALSE,TRUE
f58c4f87-1b9f-4578-8dd7-794ad56adc35,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,f58c4f87-1b9f-4578-8dd7-794ad56adc35,2023,0,0,0,GALLONS,365,FALSE,TRUE
30302f97-e033-4dcf-9844-2175d7db4872,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,30302f97-e033-4dcf-9844-2175d7db4872,2023,0,0,0,LITERS,365,FALSE,TRUE
b540603f-d32a-44f4-9ec1-de6edf5822dd,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,b540603f-d32a-44f4-9ec1-de6edf5822dd,2023,0,0,0,GALLONS,365,FALSE,TRUE
0835885d-6eae-47e8-87be-656b327ed17d,029bd1d0-cece-4db7-9e9f-ad69d9a714b4,0835885d-6eae-47e8-87be-656b327ed17d,2023,0,0,0,GALLONS,365,FALSE,TRUE
