Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Pressure Value (if OTHER),Temperature
e3f2ae55-b697-4a28-83dd-115d5386b1f0,01a576b5-25ce-5d5c-803a-fca1dd992b62,5b2c6f19-f34c-5345-965a-b8b05764ef4b,POUNDS,75.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
df83e754-a3db-4add-a940-18a68d21849e,ba734255-9ac4-5461-8e41-eb364b35f27d,81b3444f-cf0b-5b11-ae7f-1b5ce3fa4103,POUNDS,50.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
3db5847e-c796-4646-baa7-df7463c27f07,1192b9e3-0343-5cc4-9bc3-fb597c0775f5,81b3444f-cf0b-5b11-ae7f-1b5ce3fa4103,GALLONS,55.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
8f446566-c159-4ad1-b6a6-aec5c56f7f49,ccf8f184-8ff6-551c-9dd1-576f2300bb41,cd9fda81-740a-5723-81ab-7ee9be5f2fa3,POUNDS,300.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
66f479c3-90b4-4aee-aed6-013a570ea16f,e7b3aa21-81e8-5ed4-9379-7ca516a50036,f11de6c9-44e5-5929-bcb6-e6af03d19a1d,POUNDS,180.0,CASE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
8227ca85-a2cd-4d53-bbf6-f0198f82339f,e5463bed-4b88-5b8f-9bb8-90638d4d26cf,81b3444f-cf0b-5b11-ae7f-1b5ce3fa4103,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
7ee1ecab-474c-4726-90ca-67f24589c7fc,ec29a610-670c-592f-b169-57cb4999050c,6cc3bab0-77fd-5726-b2c7-eb7833c05819,GALLONS,12.5,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
2e900d66-ac88-409d-af80-b29388e1113a,a52b7999-d705-561b-aed5-1572bf5defc7,2491f68f-1d67-52ae-bb97-178b8655a1e7,POUNDS,10.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
f751e499-38bc-402b-9470-e71b5f1cfe4b,b91605f9-9f67-5b3d-a322-96cbf851b582,e3802ccb-3247-5f29-8d8c-b3f09cf09d73,POUNDS,2.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
17bc2c9f-f63c-4dbc-819d-71cabc78a0ed,d28da352-3d9a-509f-8874-6de170817dc4,2491f68f-1d67-52ae-bb97-178b8655a1e7,LITERS,120.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
8d10d1bf-6e5f-4a69-aabc-3cd3fd348826,e1ec121e-07d6-52d3-a4e1-0393942694a2,4f7ec1a5-418b-5c51-84ef-510dd74640e8,GALLONS,500.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
4f04aa02-43d7-47bd-8285-3b7f5c107058,a0e8616f-3447-555b-b903-3ced6999ef1f,6d71744d-682a-577c-b1d4-5da16e0cfb72,GALLONS,120.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
b61d37f7-773c-4589-ba14-bc63aca27a89,fd6a1a62-15c4-578e-a4b0-0ffdbb3f6691,036e52bf-7665-5abc-8f6e-7b2991e16e30,GALLONS,200.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
7d6934ea-dbe6-4786-9794-22bcc176b2b4,c70d4b31-e414-5902-b140-fa77952667f5,2491f68f-1d67-52ae-bb97-178b8655a1e7,LITERS,240.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
88cf7e6d-0dea-42c9-b6f6-bbd21be90a7a,56f0c3c2-33bd-5cf3-8d8e-2a288db979a3,2491f68f-1d67-52ae-bb97-178b8655a1e7,GALLONS,120.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
66255ea4-3611-4b26-bf2f-aad2234cc7e7,56f0c3c2-33bd-5cf3-8d8e-2a288db979a3,320e3e28-e894-5d00-b54a-b9f9156ccbdd,GALLONS,240.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
2c740d9c-eddc-46c2-a235-b0423519165c,2d53c3bc-0a38-53d4-bb15-5e7243adcb39,4b37039f-a1a8-522a-b0a7-92a241206758,GALLONS,10.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
63367b61-b33c-46ad-9d00-311eaa2ddab0,3a2bedbf-8405-5f18-be1d-2db35b8bdda6,48c1934a-f4f7-5b62-a304-e448e84413fb,GALLONS,240.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
3e592412-8149-4dc0-9a86-36c43d6053d9,56fddf00-95a7-5ba3-96a3-7e1959571bf8,28d59b2e-2510-5e65-a54a-a1291ec00452,POUNDS,120.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
380b0c13-b50f-4986-96ac-7fa5527ebd3d,521945a2-1437-56b9-bfc5-eaf627f84afc,e3802ccb-3247-5f29-8d8c-b3f09cf09d73,GALLONS,60.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
693af7e1-5fb3-4cd5-b2cd-f8d22ec4e025,b2d40e9b-d9af-5abf-80a7-108f09ba694f,e3802ccb-3247-5f29-8d8c-b3f09cf09d73,POUNDS,4.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
42f25b60-5b6b-4884-8e42-81f8bc1c6fde,2579061d-9f90-5426-a7b1-bf88e57e81cd,2491f68f-1d67-52ae-bb97-178b8655a1e7,GALLONS,1500.0,ABOVEGROUND_STORAGE_TANK,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
b7840a4f-d5bc-4120-8d65-0e666a3c6ffb,e476455c-3ae4-598a-9d2f-7b57d671a8c3,711aea1b-ee35-531a-907e-6dff6aec08df,POUNDS,2.0,TANK_CAR,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
1b16e7c3-053a-4dde-9e10-77535b892308,aa01760e-43e1-5b70-aee8-f9746454008c,fea2b388-72a9-517c-9c30-39f813a6fdc3,GALLONS,12.5,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
79dc1448-7fd2-4c3b-8423-3729f8ae78f6,92569cc9-9657-51d5-b328-baf20d59ecb2,e3802ccb-3247-5f29-8d8c-b3f09cf09d73,GALLONS,10.0,Cylinder,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
0c023859-653f-4848-8f92-d005fa41ad4c,9d7cd86a-0d71-58df-9b2f-97e6b61ce6b3,a623f8ee-3d7a-505b-b49f-3bf8d6fb1431,GALLONS,1000.0,TANK_INSIDE_BUILDING,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
92aa5232-9d60-4113-afba-5c753038e74f,7ef05e0c-63ec-573a-8a5f-3956901951a3,ec387663-9a20-5cae-8cfd-6c8e20f58efd,GALLONS,25.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
