Tenant ID,Chemical ID,Chemical Name,CAS Number,No CAS Number?,Alternate ID,Is Ehs?,Pure or Mixture?,Is Solid?,Is Liquid?,Is Gas?,Is Trade Secret?,Density,Density Units,Physical Hazards,Health Hazards,Oregon Hazards,IFC Hazards,No Hazards - Not Reporting?,EHS Form,Needs Review?
59971d4b-6e58-4c30-89e4-04192b678509,71746b3b-a5e7-4073-a623-e540986b0ea2,SAE 75W-140 Synthetic Rear Axle Lubricant,,TRUE,048396,FALSE,MIXTURE,FALSE,TRUE,FALSE,FALSE,0.87,KILOGRAMS_PER_LITER,,,,,TRUE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,a6d26ba4-7d88-4246-8ce7-257449a0f0e9,Acetylene,74-86-2,FALSE,001001,FALSE,PURE,FALSE,FALSE,TRUE,FALSE,0.0691,POUNDS_PER_CUBIC_FOOT,FLAMMABLE|COMPRESSED_GAS,,,FLAMMABLE,FALSE,NONE,
59971d4b-6e58-4c30-89e4-04192b678509,b31e8d49-036b-48ee-b0ad-f34b710a6e43,[placeholder #1 - could not parse]
59971d4b-6e58-4c30-89e4-04192b678509,5a93ab23-aec0-4115-aa97-4b9150cb5caf,[placeholder #2 - could not parse]
59971d4b-6e58-4c30-89e4-04192b678509,602279c5-b0a4-4ecf-90e7-694b1628791e,[placeholder #3 - could not parse]
59971d4b-6e58-4c30-89e4-04192b678509,6734d9ae-f824-497c-91c2-1c004b621585,[placeholder #4 - could not parse]
59971d4b-6e58-4c30-89e4-04192b678509,1a1193e8-5fa2-4a2c-978b-ab55fd2c9d96,[placeholder #5 - could not parse]




