Maximum Number of Occupants,Dun & Bradstreet Number,Facility Name,Company Name,Customer Facility Id,Tenant ID,Street Address Line 1,Street Address Line 2,Street Address City,Street Address State,Street Address Zip Code,Facility ID,Facility Phone Number,Facility 24h Phone Number
32,na,Haddad Subaru of St. Albans,Haddad Auto Group,5bf7854b-39a1-4908-bc88-8751d2f532b4,7bdd902f-2bf3-48c8-bebf-316f2efa4b63,431 Swanton Rd,,St Albans City,VT,05478,5bf7854b-39a1-4908-bc88-8751d2f532b4,(413) 997-2277,(413) 717-5612
25,NA,Haddad Hyundai,Haddad Auto Group,3a293270-b495-40f4-b39d-6515a7debed1,7bdd902f-2bf3-48c8-bebf-316f2efa4b63,689 East Street,,Pittsfield,MA,01201,3a293270-b495-40f4-b39d-6515a7debed1,(413) 242-0150,(413) 242-0187
28,na,Haddad Collision Center,Haddad Auto Group,01b820ce-85fb-4c6f-98e2-5049fa79aed1,7bdd902f-2bf3-48c8-bebf-316f2efa4b63,40 Downing Industrial Parkway,,Pittsfield,MA,01201,01b820ce-85fb-4c6f-98e2-5049fa79aed1,(413) 445-4535,(413) 445-4535
71,137968749,Haddad Toyota,Haddad Auto Group,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,7bdd902f-2bf3-48c8-bebf-316f2efa4b63,130 Lenox Rd.,,Pittsfield,MA,01240,b561cf4f-8d1f-4bcd-9cc5-0e0e900cb90e,(413) 442-1584,(413) 242-0187
60,na,Haddad Subaru,Haddad Auto Group,6eb9cc89-1aac-4d4f-b08e-7576b684d308,7bdd902f-2bf3-48c8-bebf-316f2efa4b63,652 East Street,,Pittsfield,MA,01201,6eb9cc89-1aac-4d4f-b08e-7576b684d308,,
