Chemical Regulatory Info ID,Chemical ID,Key,Value,Extension Type,Jurisdiction
3c99a758-50eb-442d-8922-108395a3f589,d5cc0890-8248-4737-b9d5-d10da0f2a20e,isWaste,FALSE,EPCRA,STATE_CA
3c092a66-ad8c-4b51-b1db-b1519f986f90,d5cc0890-8248-4737-b9d5-d10da0f2a20e,radioactive,FALSE,EPCRA,STATE_CA
9c1fca5b-f552-47d4-8eab-f505446133fb,d5cc0890-8248-4737-b9d5-d10da0f2a20e,isPetroleumProduct,FALSE,EPCRA,STATE_VT
d3bf3592-5a2a-414f-ba24-995036870bd6,d5cc0890-8248-4737-b9d5-d10da0f2a20e,isRoadSalt,FALSE,EPCRA,STATE_VT
cdbd0434-dbf7-43f5-aaff-f4ba53ccccbd,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isHeatingFuel,FALSE,EPCRA,STATE_DE
2931c177-822d-4dc3-9757-042e7cfad93f,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isVoluntary,FALSE,EPCRA,STATE_WI
d05cb4e0-be54-4c3d-8eab-93f5aa8e595a,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isGasolineOrDieselFuel,FALSE,EPCRA,STATE_WI
32e189b0-cacd-42f1-9d04-451588a0e1e4,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isSandOrGravel,FALSE,EPCRA,STATE_WI
5a03516b-4dad-4f79-ada9-5bd8be81d61b,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isPetroleum,FALSE,EPCRA,STATE_WI
b775a0b2-8e71-4919-a066-d1abd3965ae9,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isRoadSalt,FALSE,EPCRA,STATE_WI
3960d953-3ff1-4f89-ae5b-1a0a9c55b217,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isWasteProduct,FALSE,EPCRA,STATE_OR
47756081-b5a5-45b0-8567-6d671b976a81,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isPesticide,FALSE,EPCRA,STATE_OR
2c49ef3c-7fcb-47dd-88f3-1bfaa7035ef2,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isSubjectToCleanAirAct,FALSE,EPCRA,STATE_OR
df12740b-65aa-4945-b732-f15fcfa7123c,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isFertilizer,FALSE,EPCRA,STATE_OR
1efecca5-1813-47d1-9a9b-493728da8469,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isSubjectToProcessSafetyManagement,FALSE,EPCRA,STATE_OR
8197ad18-7d18-457b-9b31-b4a2829defda,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isLeadAcidBattery,FALSE,EPCRA,STATE_AZ
3e123311-3607-4e38-80e9-135be88c7b46,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,hasHighNfpaReactivityRating,FALSE,EPCRA,STATE_AZ
5531764b-5aca-49b1-a265-86f85b723088,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isInPowderFormWithParticleSizeLessThan100Microns,FALSE,EPCRA,STATE_AZ
b164e949-523c-404e-bc81-b9df8735722d,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isHandledInSolutionOrMoltenForm,FALSE,EPCRA,STATE_AZ
f1c07cb6-327b-43eb-8602-155478ad4a3d,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isWaste,FALSE,EPCRA,STATE_CA
4315b748-332f-44e1-bef0-20f92e24d3d7,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,radioactive,FALSE,EPCRA,STATE_CA
6671cf27-df94-455b-bc6b-d4644fb9ed2f,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isPetroleumProduct,FALSE,EPCRA,STATE_VT
bff18256-2381-4af3-a54b-802093b586a4,d2788d9e-c2d3-47c9-92b3-c8d8e35d7633,isRoadSalt,FALSE,EPCRA,STATE_VT
816c0dc5-8bb7-4048-862d-fef4ef839865,f5e52940-f35e-4e23-843b-539952704202,isHeatingFuel,FALSE,EPCRA,STATE_DE
c0635ce6-7239-466c-b1ff-c66e068df7d8,f5e52940-f35e-4e23-843b-539952704202,isVoluntary,FALSE,EPCRA,STATE_WI
