Facility Chemical Storage Location ID,Facility Chemical ID,Storage Location ID,Unit,Max Amount,Storage Type,Storage Type Description,Pressure,Pressure Value (if OTHER),Temperature
2eb52900-ca5a-4a1c-a69c-518c37eeae99,374f9dcd-ed67-5561-bbaf-24d77eb5f7bb,8a4956c6-4373-54a2-a9a0-083db0d81bee,GALLONS,2.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
322546e5-e72c-4fa6-9c97-64ccc8207dd6,bd0ed990-fb34-54df-a3cf-93b84984d92f,8859efb8-32d2-5697-b541-64b4a9200334,GALLONS,16.25,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
ae0a6124-0ac6-49ee-a313-539c5a593b2d,3b0205ac-a865-5d5d-b648-39a69ce3379e,6faeeecd-0297-531c-ab60-b466be1eb168,GALLONS,120.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
a42f4606-0c22-46eb-817a-16dd95ed05db,ce395cd6-90d1-5bc4-953b-e62fedfcbaff,8aef63f8-e3d4-51dc-a80a-43bc4aa14253,GALLONS,96.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
4568c4a0-3c23-4c06-af89-bde5e5c579bd,ed6175b9-5796-5215-ac80-06221bd73435,3376656b-600e-513c-9681-59e7b10d0bac,GALLONS,1.0,Can,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
20d0801f-8518-4a0f-ad10-01a68a2da59c,a15622ba-0b65-5aa2-b877-ce90d34fcb98,9db2229e-7f01-5237-9e4b-15475653a011,GALLONS,2.25,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
3132f215-4d5e-402a-97d4-264d80970957,ae22a062-18e2-57a8-9263-18f617fb0865,8859efb8-32d2-5697-b541-64b4a9200334,GALLONS,30.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
070fac4c-d3ec-4b1f-922f-561b4e36f0ad,308085fa-36a4-5b74-9961-5384abfbe4e0,a2d4f092-f0e7-574c-b57a-5fad99ee0fa8,GALLONS,35.0,STEEL_DRUM,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
6b578f2e-08d5-41a3-9884-768b296fff13,f840eae2-4d51-5aa2-bc6c-a5712c8aefb1,8a4956c6-4373-54a2-a9a0-083db0d81bee,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
439096d4-a43a-4aae-866f-877386ce540f,15248aa0-f176-534a-b8d5-d9b93b1bce5b,8a4956c6-4373-54a2-a9a0-083db0d81bee,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
5f337c24-81d9-40e8-82e4-d2a46643367a,4b8d6263-5401-5848-b443-9e85a2314a99,a9feb4a4-1b43-5c16-a921-c7f201394006,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
38f71fed-cb46-4e5c-8721-d68ba7d92944,dcdc67eb-d778-5adf-8c2b-db2f966f165d,8a4956c6-4373-54a2-a9a0-083db0d81bee,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
4d253cc6-b7f8-400b-a2c6-0c225b21824a,c813c6fc-83e8-5212-a749-af712ca25edb,8a4956c6-4373-54a2-a9a0-083db0d81bee,GALLONS,1.0,PLASTIC_BOTTLE,,AMBIENT_PRESSURE,,AMBIENT_TEMPERATURE
